participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.cash,player.shares,player.periods_until_auto_buy,player.periods_until_auto_sell,player.shares_transacted,player.trans_cost,player.cash_after_trade,player.interest_earned,player.dividend_earned,player.cash_result,player.shares_result,player.f0,player.f1,player.f2,player.f3,player.forecast_error,player.forecast_reward,player.risk,player.risk_1,player.risk_2,player.risk_3,player.risk_4,group.id_in_subsession,group.price,group.volume,group.dividend,group.float,group.short,group.is_practice,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
7,s2q0vx6j,81K,0,568,569,payment,FinalResultsPage,2023-11-30 22:50:05.698983,1,,,1000.0,7,,0.0,697.57,0,-99,-99,0,0.0,697.57,34.88,0.0,732.45,0,17,16,15,14,1.0,5.0,1,0,0,0,1,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
8,oftgfyb8,85E,0,569,569,payment,NonParticipantPage,2023-11-30 22:51:19.562214,1,,,0.0,8,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
9,kcyc8zd3,25C,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.385168,1,,,0.0,9,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
10,wrwz0jvk,22E,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.393336,1,,,0.0,10,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
11,8g1at9po,75Q,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.399807,1,,,0.0,11,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
12,x8369xmh,68X,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.407535,1,,,0.0,12,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
13,vefpzsbo,28Q,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.413875,1,,,0.0,13,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
14,j4qgnvj9,59H,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.419738,1,,,0.0,14,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
15,5plzzqu9,91A,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.425749,1,,,0.0,15,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
16,em4tq056,30F,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.431578,1,,,0.0,16,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
17,qvyjpdow,78P,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.438770,1,,,0.0,17,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
18,0oggfqet,83Z,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.445441,1,,,0.0,18,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
19,uh4043bl,77H,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.451345,1,,,0.0,19,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
20,2k0xpy93,99Z,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.457299,1,,,0.0,20,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,3,1.0,28,0,0,29,bt6k6rqp,Pilot 11/30,,,,0
1,ul125qb1,86T,0,568,569,payment,FinalResultsPage,2023-11-30 22:32:38.236041,1,,,900.0,1,,0.0,641.92,0,-99,-99,0,0.0,641.92,32.1,0.0,674.02,0,15,15,14,14,1.0,5.0,1,0,0,1,1,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
2,vvh5zace,04R,0,568,569,payment,FinalResultsPage,2023-11-30 22:35:13.691747,1,,,1100.0,2,,0.0,687.06,7,-99,-99,0,0.0,687.06,34.35,7.0,728.41,7,20,33,50,63,4.0,0.0,1,0,0,1,1,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
3,olfsersm,75K,0,568,569,payment,FinalResultsPage,2023-11-30 22:36:59.706822,1,,,700.0,3,,0.0,517.85,4,-99,-99,0,0.0,517.85,25.89,4.0,547.74,4,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
4,ra4b7tia,14L,0,568,569,payment,FinalResultsPage,2023-11-30 22:47:52.834356,1,,,900.0,4,,0.0,701.38,0,-99,-99,0,0.0,701.38,35.07,0.0,736.45,0,,,,,,0.0,1,0,0,1,1,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
5,rp6hi2rs,61K,0,568,569,payment,FinalResultsPage,2023-11-30 22:48:34.830382,1,,,400.0,5,,0.0,255.9,1,-99,-99,0,0.0,255.9,12.8,1.0,269.7,1,,,,,,0.0,0,,0,,0,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
6,o6s6ayqu,30G,0,568,569,payment,FinalResultsPage,2023-11-30 22:48:45.211953,1,,,400.0,6,,0.0,88.24,16,-99,-99,0,0.0,88.24,4.41,16.0,108.65,16,,15,13,11,,0.0,1,0,0,1,1,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
7,s2q0vx6j,81K,0,568,569,payment,FinalResultsPage,2023-11-30 22:50:05.698983,1,,,1000.0,7,,0.0,732.45,0,-99,-99,0,0.0,732.45,36.62,0.0,769.07,0,14,15,14,,2.0,5.0,1,0,0,1,1,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
8,oftgfyb8,85E,0,569,569,payment,NonParticipantPage,2023-11-30 22:51:19.562214,1,,,0.0,8,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
9,kcyc8zd3,25C,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.385168,1,,,0.0,9,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
10,wrwz0jvk,22E,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.393336,1,,,0.0,10,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
11,8g1at9po,75Q,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.399807,1,,,0.0,11,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
12,x8369xmh,68X,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.407535,1,,,0.0,12,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
13,vefpzsbo,28Q,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.413875,1,,,0.0,13,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
14,j4qgnvj9,59H,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.419738,1,,,0.0,14,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
15,5plzzqu9,91A,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.425749,1,,,0.0,15,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
16,em4tq056,30F,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.431578,1,,,0.0,16,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
17,qvyjpdow,78P,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.438770,1,,,0.0,17,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
18,0oggfqet,83Z,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.445441,1,,,0.0,18,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
19,uh4043bl,77H,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.451345,1,,,0.0,19,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
20,2k0xpy93,99Z,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.457299,1,,,0.0,20,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,16.0,0,1.0,28,0,0,30,bt6k6rqp,Pilot 11/30,,,,0
1,ul125qb1,86T,0,568,569,payment,FinalResultsPage,2023-11-30 22:32:38.236041,1,,,900.0,1,,0.0,674.02,0,-99,-99,0,0.0,674.02,33.7,0.0,707.72,0,15,14,14,,2.0,5.0,1,0,0,0,1,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
2,vvh5zace,04R,0,568,569,payment,FinalResultsPage,2023-11-30 22:35:13.691747,1,,,1100.0,2,,0.0,728.41,7,-99,-99,-2,34.0,762.41,38.12,5.0,805.53,5,59,68,80,,42.0,0.0,1,0,0,0,1,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
3,olfsersm,75K,0,568,569,payment,FinalResultsPage,2023-11-30 22:36:59.706822,1,,,700.0,3,,0.0,547.74,4,-99,-99,0,0.0,547.74,27.39,4.0,579.13,4,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
4,ra4b7tia,14L,0,568,569,payment,FinalResultsPage,2023-11-30 22:47:52.834356,1,,,900.0,4,,0.0,736.45,0,-99,-99,0,0.0,736.45,36.82,0.0,773.27,0,,,,,,0.0,1,0,0,0,1,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
5,rp6hi2rs,61K,0,568,569,payment,FinalResultsPage,2023-11-30 22:48:34.830382,1,,,400.0,5,,0.0,269.7,1,-99,-99,-1,17.0,286.7,14.34,0.0,301.04,0,,,,,,0.0,0,0,,0,0,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
6,o6s6ayqu,30G,0,568,569,payment,FinalResultsPage,2023-11-30 22:48:45.211953,1,,,400.0,6,,0.0,108.65,16,-99,-99,3,-51.0,57.65,2.88,19.0,79.53,19,,13,10,,,0.0,1,0,0,0,1,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
7,s2q0vx6j,81K,0,568,569,payment,FinalResultsPage,2023-11-30 22:50:05.698983,1,,,1000.0,7,,0.0,769.07,0,-99,-99,0,0.0,769.07,38.45,0.0,807.52,0,,18,20,,,0.0,,0,0,0,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
8,oftgfyb8,85E,0,569,569,payment,NonParticipantPage,2023-11-30 22:51:19.562214,1,,,0.0,8,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
9,kcyc8zd3,25C,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.385168,1,,,0.0,9,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
10,wrwz0jvk,22E,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.393336,1,,,0.0,10,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
11,8g1at9po,75Q,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.399807,1,,,0.0,11,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
12,x8369xmh,68X,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.407535,1,,,0.0,12,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
13,vefpzsbo,28Q,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.413875,1,,,0.0,13,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
14,j4qgnvj9,59H,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.419738,1,,,0.0,14,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
15,5plzzqu9,91A,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.425749,1,,,0.0,15,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
16,em4tq056,30F,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.431578,1,,,0.0,16,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
17,qvyjpdow,78P,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.438770,1,,,0.0,17,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
18,0oggfqet,83Z,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.445441,1,,,0.0,18,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
19,uh4043bl,77H,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.451345,1,,,0.0,19,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
20,2k0xpy93,99Z,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.457299,1,,,0.0,20,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,3,1.0,28,0,0,31,bt6k6rqp,Pilot 11/30,,,,0
1,ul125qb1,86T,0,568,569,payment,FinalResultsPage,2023-11-30 22:32:38.236041,1,,,900.0,1,,0.0,707.72,0,-99,-99,0,0.0,707.72,35.39,0.0,743.11,0,14,14,,,3.0,0.0,0,0,0,0,0,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
2,vvh5zace,04R,0,568,569,payment,FinalResultsPage,2023-11-30 22:35:13.691747,1,,,1100.0,2,,0.0,805.53,5,-99,-99,0,0.0,805.53,40.28,5.0,850.81,5,61,88,,,44.0,0.0,1,0,0,0,1,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
3,olfsersm,75K,0,568,569,payment,FinalResultsPage,2023-11-30 22:36:59.706822,1,,,700.0,3,,0.0,579.13,4,-99,-99,0,0.0,579.13,28.96,4.0,612.09,4,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
4,ra4b7tia,14L,0,568,569,payment,FinalResultsPage,2023-11-30 22:47:52.834356,1,,,900.0,4,,0.0,773.27,0,-99,-99,0,0.0,773.27,38.66,0.0,811.93,0,,,,,,0.0,0,0,0,0,0,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
5,rp6hi2rs,61K,0,568,569,payment,FinalResultsPage,2023-11-30 22:48:34.830382,1,,,400.0,5,,0.0,301.04,0,-99,-99,0,0.0,301.04,15.05,0.0,316.09,0,,,,,,0.0,0,0,,0,0,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
6,o6s6ayqu,30G,0,568,569,payment,FinalResultsPage,2023-11-30 22:48:45.211953,1,,,400.0,6,,0.0,79.53,19,-99,-99,0,0.0,79.53,3.98,19.0,102.51,19,,,,,,0.0,0,0,,0,0,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
7,s2q0vx6j,81K,0,568,569,payment,FinalResultsPage,2023-11-30 22:50:05.698983,1,,,1000.0,7,,0.0,807.52,0,-99,-99,0,0.0,807.52,40.38,0.0,847.9,0,14,,,,3.0,0.0,0,0,0,,0,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
8,oftgfyb8,85E,0,569,569,payment,NonParticipantPage,2023-11-30 22:51:19.562214,1,,,0.0,8,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
9,kcyc8zd3,25C,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.385168,1,,,0.0,9,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
10,wrwz0jvk,22E,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.393336,1,,,0.0,10,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
11,8g1at9po,75Q,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.399807,1,,,0.0,11,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
12,x8369xmh,68X,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.407535,1,,,0.0,12,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
13,vefpzsbo,28Q,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.413875,1,,,0.0,13,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
14,j4qgnvj9,59H,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.419738,1,,,0.0,14,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
15,5plzzqu9,91A,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.425749,1,,,0.0,15,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
16,em4tq056,30F,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.431578,1,,,0.0,16,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
17,qvyjpdow,78P,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.438770,1,,,0.0,17,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
18,0oggfqet,83Z,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.445441,1,,,0.0,18,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
19,uh4043bl,77H,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.451345,1,,,0.0,19,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
20,2k0xpy93,99Z,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.457299,1,,,0.0,20,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,1.0,28,0,0,32,bt6k6rqp,Pilot 11/30,,,,0
1,ul125qb1,86T,0,568,569,payment,FinalResultsPage,2023-11-30 22:32:38.236041,1,,,900.0,1,,0.0,743.11,0,-99,-99,0,0.0,743.11,37.16,0.0,780.27,0,14,,,,3.0,0.0,0,0,0,0,0,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
2,vvh5zace,04R,0,568,569,payment,FinalResultsPage,2023-11-30 22:35:13.691747,1,,,1100.0,2,,0.0,850.81,5,-99,-99,0,0.0,850.81,42.54,2.0,895.35,5,65,,,,48.0,0.0,1,0,0,0,1,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
3,olfsersm,75K,0,568,569,payment,FinalResultsPage,2023-11-30 22:36:59.706822,1,,,700.0,3,,0.0,612.09,4,-99,-99,0,0.0,612.09,30.6,1.6,644.29,4,,,,,,0.0,,,,,,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
4,ra4b7tia,14L,0,568,569,payment,FinalResultsPage,2023-11-30 22:47:52.834356,1,,,900.0,4,,0.0,811.93,0,-99,-99,0,0.0,811.93,40.6,0.0,852.53,0,,,,,,0.0,0,0,0,0,0,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
5,rp6hi2rs,61K,0,568,569,payment,FinalResultsPage,2023-11-30 22:48:34.830382,1,,,400.0,5,,0.0,316.09,0,-99,-99,0,0.0,316.09,15.8,0.0,331.89,0,17,,,,0.0,5.0,0,0,,0,0,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
6,o6s6ayqu,30G,0,568,569,payment,FinalResultsPage,2023-11-30 22:48:45.211953,1,,,400.0,6,,0.0,102.51,19,-99,-99,0,0.0,102.51,5.13,7.6,115.24,19,,,,,,0.0,0,0,0,0,0,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
7,s2q0vx6j,81K,0,568,569,payment,FinalResultsPage,2023-11-30 22:50:05.698983,1,,,1000.0,7,,0.0,847.9,0,-99,-99,0,0.0,847.9,42.4,0.0,890.3,0,14,,,,3.0,0.0,1,0,0,0,1,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
8,oftgfyb8,85E,0,569,569,payment,NonParticipantPage,2023-11-30 22:51:19.562214,1,,,0.0,8,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
9,kcyc8zd3,25C,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.385168,1,,,0.0,9,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
10,wrwz0jvk,22E,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.393336,1,,,0.0,10,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
11,8g1at9po,75Q,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.399807,1,,,0.0,11,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
12,x8369xmh,68X,0,569,569,payment,NonParticipantPage,2023-11-30 22:52:51.407535,1,,,0.0,12,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,,,,,1,17.0,0,0.4,28,0,0,33,bt6k6rqp,Pilot 11/30,,,,0
