session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,total_bonus,showup,total_payment
j9yi8qx8,po07dezz,65a2bc0d60b1e46f4e1d3cc8,1,3.47,0.49,1.05,5.01,12.0,17.01
j9yi8qx8,6t5zkjsw,60ff7c8f4f066ccf6fe05587,1,2.86,0.55,1.1,4.51,12.0,16.51
j9yi8qx8,2c2jk6i2,5f7529755aaa0e1a6e804640,1,1.98,0.78,0.95,3.71,12.0,15.71
j9yi8qx8,le0k73pf,56f9364e895094000c8f4967,1,3.75,0.65,1.0,5.4,12.0,17.4
j9yi8qx8,eqomb134,564d1fedb48dec0005b5191d,1,1.05,0.41,1.85,3.31,12.0,15.31
j9yi8qx8,jh4zquoe,600f9342e7bc5518fa9ca92a,1,3.85,0.49,1.75,6.09,12.0,18.09
j9yi8qx8,qfhl00la,568e7e33e3ef9e000da202a7,1,3.25,0.21,0.1,3.56,12.0,15.56
j9yi8qx8,164ihb2u,6554ea58c859388bc801973c,1,3.28,0.25,1.05,4.58,12.0,16.58
j9yi8qx8,di7fvryy,90H,1,5.2,0.65,0.15,6.0,12.0,18.0
j9yi8qx8,bwgnq67y,67V,1,3.55,0.59,1.05,5.19,12.0,17.19
j9yi8qx8,hek05e9p,5c3151aa0cfe9a00012f6f3f,1,3.19,0.63,1.0,4.82,12.0,16.82
j9yi8qx8,uhwxw8pp,81F,1,4.23,0.68,0.72,5.63,12.0,17.63
j9yi8qx8,5oxgjtht,65c128df79c460e6c2c07adc,1,2.11,0.28,0.7,3.09,12.0,15.09
j9yi8qx8,6erfh0b4,44L,1,2.53,0.65,1.0,4.18,12.0,16.18
j9yi8qx8,y0k96lit,10Q,1,4.13,0.35,2.0,6.48,12.0,18.48
j9yi8qx8,wpf8xvzn,60X,1,5.72,0.7,0.8,7.22,12.0,19.22
j9yi8qx8,0j7pa5ah,657322bd0c81d1e8853d38e8,1,4.04,0.74,0.72,5.5,12.0,17.5
j9yi8qx8,1q4y5igg,646f77d9a7d75c8264dba865,1,3.18,0.4,2.0,5.58,12.0,17.58
j9yi8qx8,ai804tsq,615252fe3ac6a44f68bdc779,1,1.92,0.0,0.7,2.62,12.0,14.62
j9yi8qx8,jehhq03p,5669ac845bd4ff0011159b4a,1,4.28,0.76,1.05,6.09,12.0,18.09
j9yi8qx8,p6796qx0,69B,0,0.0,0.0,0.0,0.0,12.0,12.0
j9yi8qx8,5kxaoibz,97R,0,0.0,0.0,0.0,0.0,12.0,12.0
j9yi8qx8,ufnxp11s,00U,0,0.0,0.0,0.0,0.0,12.0,12.0
j9yi8qx8,00l9f2po,12C,0,0.0,0.0,0.0,0.0,12.0,12.0
j9yi8qx8,h5zss9ga,63F,0,0.0,0.0,0.0,0.0,12.0,12.0
yh2bjr4n,y3sohdna,63d15e1be853005ff591b935,1,3.37,0.38,0.95,4.7,12.0,16.7
yh2bjr4n,f69sc3qv,47R,1,7.51,0.4,0.9,8.81,12.0,20.81
yh2bjr4n,1otptc78,64d5219df0415c9a7c609c19,1,3.32,0.34,0.85,4.51,12.0,16.51
yh2bjr4n,g15uk1na,63e576170eb086a90644efb4,1,3.79,0.36,1.07,5.22,12.0,17.22
yh2bjr4n,uvqvgyhm,655fa05b1303f59972ea6555,1,1.14,0.15,1.0,2.29,12.0,14.29
yh2bjr4n,jgzbuspd,63X,1,1.32,0.18,1.9,3.4,12.0,15.4
yh2bjr4n,34moh240,90M,1,6.56,0.38,1.1,8.04,12.0,20.04
yh2bjr4n,kj5mb0c6,65f4ab7884f8411c9e11a34e,1,2.12,0.14,0.72,2.98,12.0,14.98
yh2bjr4n,i32vxc9q,612517df29cd32c6632b4a44,1,3.65,0.15,0.75,4.55,12.0,16.55
yh2bjr4n,lxahmvq4,5e1545d9b1fb05b6369d13e8,1,3.37,0.0,1.73,5.1,12.0,17.1
yh2bjr4n,1tmdnedz,07C,1,3.47,0.34,0.95,4.76,12.0,16.76
yh2bjr4n,24awknoo,5e8b32ec2c33ae7f20a0b401,1,1.17,0.14,0.9,2.21,12.0,14.21
yh2bjr4n,blmrbxbe,31O,1,2.9,0.24,1.93,5.07,12.0,17.07
yh2bjr4n,y8s9rh6k,5eb5f6d5e38e9f4e6c8dde3f,1,6.96,0.13,0.85,7.94,12.0,19.94
yh2bjr4n,v8ekublm,63868eb7abcf3f247da6f52b,1,1.51,0.07,0.13,1.71,12.0,13.71
yh2bjr4n,84kdltfs,5bf311373a5bf00001401f64,1,1.84,0.19,1.98,4.01,12.0,16.01
yh2bjr4n,3x5s0fpe,85D,0,0.0,0.0,0.0,0.0,12.0,12.0
yh2bjr4n,ls34qfcy,68O,0,0.0,0.0,0.0,0.0,12.0,12.0
yh2bjr4n,ivfo1r91,67V_duplicate,0,0.0,0.0,0.0,0.0,12.0,12.0
yh2bjr4n,qca4mwk9,40H,0,0.0,0.0,0.0,0.0,12.0,12.0
yh2bjr4n,eb2e5fwc,19I,0,0.0,0.0,0.0,0.0,12.0,12.0
yh2bjr4n,9eeyeanb,90P,0,0.0,0.0,0.0,0.0,12.0,12.0
yh2bjr4n,ko4sxzyb,07R,0,0.0,0.0,0.0,0.0,12.0,12.0
yh2bjr4n,8eo2r2z2,36D,0,0.0,0.0,0.0,0.0,12.0,12.0
yh2bjr4n,suqg1dnl,69K,0,0.0,0.0,0.0,0.0,12.0,12.0
3olyo3ti,6b3q9qq2,652bec7edafaf7eb52260adc,1,0.91,0.44,0.03,1.38,12.0,13.38
3olyo3ti,wh44bg45,65771b60491a7f2586a8e76e,1,1.49,0.29,0.13,1.91,12.0,13.91
3olyo3ti,idxov8mf,5e9f3f09ccc75a0c345e4845,1,3.61,0.39,1.05,5.05,12.0,17.05
3olyo3ti,oepps8e7,vbm55dq7_63A,1,5.77,0.54,0.18,6.49,12.0,18.49
3olyo3ti,0fmw2xaz,vbm55dq7_28W,1,6.22,0.74,0.88,7.84,12.0,19.84
3olyo3ti,qy7awm34,632a1ae0d2c0c28e680e9c5a,1,3.45,0.39,0.03,3.87,12.0,15.87
3olyo3ti,ulvhvv8w,647e0f22b1d466181ae694c4,1,2.53,0.46,0.13,3.12,12.0,15.12
3olyo3ti,25oi7gw4,vbm55dq7_96M,1,4.33,0.54,0.8,5.67,12.0,17.67
3olyo3ti,lihzl287,664639dd4711fff56d77ada4,1,1.19,0.66,1.85,3.7,12.0,15.7
3olyo3ti,wdke8w3w,6639294aecf47d087656fe71,1,1.61,0.34,0.15,2.1,12.0,14.1
3olyo3ti,x39ypf3t,62e19208352cd518d7b2f085,1,3.78,0.65,0.93,5.36,12.0,17.36
3olyo3ti,dc9fui1l,62b0ff84054c6ca32f481c65,1,3.26,0.36,1.05,4.67,12.0,16.67
3olyo3ti,qax3614j,5c56964991c0ad0001cfa5ae,1,4.32,0.59,1.05,5.96,12.0,17.96
3olyo3ti,eqnkv23a,138007jZ1260lZz75L69nOS7,0,0.0,0.0,0.0,0.0,12.0,12.0
3olyo3ti,f5lsh55i,6090578fb2299eacaec32b7a,1,3.87,0.54,1.0,5.41,12.0,17.41
3olyo3ti,nx60zppu,59966e89a2bbe000018834b8,1,4.72,0.63,1.85,7.2,12.0,19.2
3olyo3ti,fo4n2lxj,66463e4efb99fba5a67a010a,1,3.21,0.49,0.72,4.42,12.0,16.42
3olyo3ti,k1tdqd2u,6646002255b1bdcfe331c5c4,1,2.59,0.6,0.95,4.14,12.0,16.14
3olyo3ti,gd7r9c5r,664299802cd8985e29fc6573,1,3.67,0.63,1.0,5.3,12.0,17.3
