session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,total_bonus,showup,total_payment
j9yi8qx8,po07dezz,65a2bc0d60b1e46f4e1d3cc8,1,3.47,0.49,1.05,5.01,12.0,17.01
j9yi8qx8,6t5zkjsw,60ff7c8f4f066ccf6fe05587,1,2.86,0.55,1.1,4.51,12.0,16.51
j9yi8qx8,2c2jk6i2,5f7529755aaa0e1a6e804640,1,1.98,0.78,0.95,3.71,12.0,15.71
j9yi8qx8,le0k73pf,56f9364e895094000c8f4967,1,3.75,0.65,1.0,5.4,12.0,17.4
j9yi8qx8,eqomb134,564d1fedb48dec0005b5191d,1,1.05,0.41,1.85,3.31,12.0,15.31
j9yi8qx8,jh4zquoe,600f9342e7bc5518fa9ca92a,1,3.85,0.49,1.75,6.09,12.0,18.09
j9yi8qx8,qfhl00la,568e7e33e3ef9e000da202a7,1,3.25,0.21,0.1,3.56,12.0,15.56
j9yi8qx8,164ihb2u,6554ea58c859388bc801973c,1,3.28,0.25,1.05,4.58,12.0,16.58
j9yi8qx8,di7fvryy,90H,1,5.2,0.65,0.15,6.0,12.0,18.0
j9yi8qx8,bwgnq67y,67V,1,3.55,0.59,1.05,5.19,12.0,17.19
j9yi8qx8,hek05e9p,5c3151aa0cfe9a00012f6f3f,1,3.19,0.63,1.0,4.82,12.0,16.82
j9yi8qx8,uhwxw8pp,81F,1,4.23,0.68,0.72,5.63,12.0,17.63
j9yi8qx8,5oxgjtht,65c128df79c460e6c2c07adc,1,2.11,0.28,0.7,3.09,12.0,15.09
j9yi8qx8,6erfh0b4,44L,1,2.53,0.65,1.0,4.18,12.0,16.18
j9yi8qx8,y0k96lit,10Q,1,4.13,0.35,2.0,6.48,12.0,18.48
j9yi8qx8,wpf8xvzn,60X,1,5.72,0.7,0.8,7.22,12.0,19.22
j9yi8qx8,0j7pa5ah,657322bd0c81d1e8853d38e8,1,4.04,0.74,0.72,5.5,12.0,17.5
j9yi8qx8,1q4y5igg,646f77d9a7d75c8264dba865,1,3.18,0.4,2.0,5.58,12.0,17.58
j9yi8qx8,ai804tsq,615252fe3ac6a44f68bdc779,1,1.92,0.0,0.7,2.62,12.0,14.62
j9yi8qx8,jehhq03p,5669ac845bd4ff0011159b4a,1,4.28,0.76,1.05,6.09,12.0,18.09
j9yi8qx8,p6796qx0,69B,0,0.0,0.0,0.0,0.0,12.0,12.0
j9yi8qx8,5kxaoibz,97R,0,0.0,0.0,0.0,0.0,12.0,12.0
j9yi8qx8,ufnxp11s,00U,0,0.0,0.0,0.0,0.0,12.0,12.0
j9yi8qx8,00l9f2po,12C,0,0.0,0.0,0.0,0.0,12.0,12.0
j9yi8qx8,h5zss9ga,63F,0,0.0,0.0,0.0,0.0,12.0,12.0
