participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.cash,player.shares,player.periods_until_auto_buy,player.periods_until_auto_sell,player.shares_transacted,player.trans_cost,player.cash_after_trade,player.interest_earned,player.dividend_earned,player.cash_result,player.shares_result,player.f0,player.f1,player.f2,player.f3,player.fcast_rnd_0,player.fcast_rnd_1,player.fcast_rnd_2,player.fcast_rnd_3,player.forecast_error,player.forecast_reward,player.forecast_bonus_data,player.risk,player.risk_1,player.risk_2,player.risk_3,player.risk_4,player.risk_rh,player.risk_rl,player.risk_sh,player.risk_sl,player.risk_phi_1,player.risk_phi_2,player.risk_phi_3,player.risk_phi_4,player.risk_reward,player.dr,player.dmu,player.dose_r,player.dose_mu,group.id_in_subsession,group.price,group.volume,group.dividend,group.float,group.short,group.is_practice,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
13,ix3ahkxu,666303d485d352f6067b1f38,0,367,368,payment,FinalResultsPage,2024-09-12 16:13:02.454164,1,,,692.08,13,,0.0,106.6,4,-99,-99,-1,15.0,121.6,6.08,1.2,128.88,3,14,18,23,28,2,4,7,12,1.0,2.5,,,0,1,,0,20.5,1.75,9.0,8.75,28.0,42.0,36.0,36.0,,,,-0.10071764501047219,2.974172033794245,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
14,447lmbsw,664299802cd8985e29fc6573,0,367,368,payment,FinalResultsPage,2024-09-12 16:13:07.884842,1,,,1112.97,14,,0.0,106.6,4,-99,-99,-2,30.0,136.6,6.83,0.8,144.23,2,15,17,21,24,2,4,7,12,0.0,2.5,,,0,0,0,0,20.5,1.75,9.0,8.75,28.0,42.0,57.0,82.0,,,,0.9522762269280305,3.628598995334745,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
15,ekqwwz4h,31ulkmb6_77T,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:33.988969,1,,,0.0,15,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
16,id56hbqs,31ulkmb6_67S,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.013800,1,,,0.0,16,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
17,umbckjgq,31ulkmb6_15T,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.037077,1,,,0.0,17,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
18,cv4grx1h,31ulkmb6_22M,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.060087,1,,,0.0,18,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
19,e7ovndvu,31ulkmb6_22L,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.082902,1,,,0.0,19,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
20,0qbm4nh0,31ulkmb6_27P,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.105994,1,,,0.0,20,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
21,jfayayb0,31ulkmb6_46T,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.133285,1,,,0.0,21,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
22,a4m9qv4w,31ulkmb6_57G,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.157275,1,,,0.0,22,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
23,k1z4699f,31ulkmb6_93Y,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.181588,1,,,0.0,23,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
24,t2946woj,31ulkmb6_02V,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.206257,1,,,0.0,24,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
25,cdhj1mjd,31ulkmb6_73C,0,368,368,payment,NonParticipantPage,2024-09-12 16:13:34.231844,1,,,0.0,25,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,52,0,1,2,31ulkmb6,2024-09-12,,,Market Experiment,0
