participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.cash,player.shares,player.periods_until_auto_buy,player.periods_until_auto_sell,player.shares_transacted,player.trans_cost,player.cash_after_trade,player.interest_earned,player.dividend_earned,player.cash_result,player.shares_result,player.f0,player.f1,player.f2,player.f3,player.fcast_rnd_0,player.fcast_rnd_1,player.fcast_rnd_2,player.fcast_rnd_3,player.forecast_error,player.forecast_reward,player.forecast_bonus_data,player.risk,player.risk_1,player.risk_2,player.risk_3,player.risk_4,player.risk_rh,player.risk_rl,player.risk_sh,player.risk_sl,player.risk_phi_1,player.risk_phi_2,player.risk_phi_3,player.risk_phi_4,player.risk_reward,player.dr,player.dmu,player.dose_r,player.dose_mu,group.id_in_subsession,group.price,group.volume,group.dividend,group.float,group.short,group.is_practice,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,4iyqsfyl,65ef1b4257164ebb8e1db886,0,367,368,payment,FinalResultsPage,2024-06-20 17:32:20.722328,1,,,1188.21,1,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,14,15,16,20,1,3,6,11,1.0,2.5,,,0,0,0,0,19.25,0.5,10.0,8.0,35.0,57.0,73.0,84.0,,,,0.9887234909914421,3.4685248251977425,1,15.0,6,0.4,88,0,1,1,lrx4o1bb,2024-06-20,,,Market Experiment,0
2,uz2flshd,632b947efa9da6a9bde31f94,0,367,368,payment,FinalResultsPage,2024-06-20 17:32:21.151045,1,,,1066.81,2,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,19,14,20,21,1,3,6,11,4.0,0.0,,,,0,1,1,19.25,0.5,10.0,8.0,35.0,35.0,57.0,46.0,,,,0.4017730218869266,2.9192062989446423,1,15.0,6,0.4,88,0,1,1,lrx4o1bb,2024-06-20,,,Market Experiment,0
3,pelnggmx,612962f44f151ddfd0298c52,0,367,368,payment,FinalResultsPage,2024-06-20 17:32:21.567435,1,,,938.38,3,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,15,16,18,22,1,3,6,11,0.0,2.5,,,,0,,,19.25,0.5,10.0,8.0,35.0,35.0,57.0,57.0,,,,-0.7739963082013506,2.872568823955288,1,15.0,6,0.4,88,0,1,1,lrx4o1bb,2024-06-20,,,Market Experiment,0
4,az5lo3mq,4vs1ljv7_89Z,0,367,368,payment,FinalResultsPage,2024-06-20 17:32:22.128771,1,,,1297.4,4,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,15,20,15,30,1,3,6,11,0.0,2.5,,,,0,,1,19.25,0.5,10.0,8.0,35.0,35.0,57.0,57.0,,,,0.9015438159098879,3.3564840610749846,1,15.0,6,0.4,88,0,1,1,lrx4o1bb,2024-06-20,,,Market Experiment,0
5,g23zaokb,653703627539f3a8b2ed4af3,0,367,368,payment,FinalResultsPage,2024-06-20 17:32:22.351192,1,,,846.09,5,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,14,15,18,24,1,3,6,11,1.0,2.5,,,0,0,0,1,19.25,0.5,10.0,8.0,35.0,57.0,73.0,84.0,,,,1.1968510138127109,3.5446149124240476,1,15.0,6,0.4,88,0,1,1,lrx4o1bb,2024-06-20,,,Market Experiment,0
6,72yz3eik,4vs1ljv7_33S,0,367,368,payment,FinalResultsPage,2024-06-20 17:32:22.366472,1,,,1056.24,6,,0.0,100.0,4,-99,-99,-3,45.0,145.0,7.25,0.4,152.65,1,14,18,20,25,1,3,6,11,1.0,2.5,,,,0,0,1,19.25,0.5,10.0,8.0,35.0,35.0,57.0,73.0,,,,1.0809865917837622,3.5022556229888924,1,15.0,6,0.4,88,0,1,1,lrx4o1bb,2024-06-20,,,Market Experiment,0
7,ttaw67eh,4vs1ljv7_09T,0,367,368,payment,FinalResultsPage,2024-06-20 17:32:22.829517,1,,,936.75,7,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,15,13,25,20,1,3,6,11,0.0,2.5,,,,1,0,1,19.25,0.5,10.0,8.0,35.0,35.0,21.0,28.0,,,,-0.18518833138379087,2.6872526870047824,1,15.0,6,0.4,88,0,1,1,lrx4o1bb,2024-06-20,,,Market Experiment,0
8,ltsdih4y,5d19281012e152001920227f,0,367,368,payment,FinalResultsPage,2024-06-20 17:32:23.321994,1,,,829.83,8,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,14,10,12,16,1,3,6,11,1.0,2.5,,,,,0,,19.25,0.5,10.0,8.0,35.0,35.0,35.0,57.0,,,,-0.7739963082013506,2.872568823955288,1,15.0,6,0.4,88,0,1,1,lrx4o1bb,2024-06-20,,,Market Experiment,0
9,sl456vtl,5dce29700ad506063969a4a5,0,367,368,payment,FinalResultsPage,2024-06-20 17:32:23.406827,1,,,1245.4,9,,0.0,100.0,4,-99,-99,0,0.0,100.0,5.0,1.6,106.6,4,15,15,18,19,1,3,6,11,0.0,2.5,,,0,0,0,1,19.25,0.5,10.0,8.0,35.0,57.0,73.0,84.0,,,,1.1968510138127109,3.5446149124240476,1,15.0,6,0.4,88,0,1,1,lrx4o1bb,2024-06-20,,,Market Experiment,0
10,56xk58pt,59894fbbda239a0001fb8e16,0,368,368,payment,NonParticipantPage,2024-06-20 17:32:23.615580,1,,,0.0,10,,0.0,0.0,0,-99,-99,0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1,15.0,6,0.4,88,0,1,1,lrx4o1bb,2024-06-20,,,Market Experiment,0
